SAMPLE	TUMOR	FASTQ_TUMOR_PATH	NORMAL	FASTQ_NORMAL_PATH
Data	TCGA-06-0171-01A-02D-A33C-08	/home/adabbo/gdc/9b5a849c-703d-4d9c-81f4-6bd061fd21a8	TCGA-06-0171-10A-01D-A33C-08	/home/adabbo/gdc/dae9460c-3434-40e6-96d1-34b458464c4d/
Data	TCGA-06-0171-02A-11D-2280-08	/home/adabbo/gdc/8e403d99-1eb2-445f-9ebd-af4dde907b49	TCGA-06-0171-10A-01D-A33C-08	/home/adabbo/gdc/dae9460c-3434-40e6-96d1-34b458464c4d/
